"name","word","count"
"said","said","8307"
"cameron","cameron","7991"
"would","would","6357"
"minister","minister","4841"
"people","people","3976"
"prime","prime","3833"
"government","government","3728"
"twitter","twitter","3644"
"labour","labour","3580"
"one","one","3477"
"party","party","3355"
"eu","eu","3347"
"uk","uk","3318"
"share","share","3312"
"facebook","facebook","3249"
"plus","plus","3163"
"google","google","3109"
"britain","britain","2950"
"david","david","2782"
"also","also","2716"
"us","us","2433"
"could","could","2308"
"british","british","2292"
"new","new","2280"
"scotland","scotland","2278"
"last","last","2077"
"european","european","2072"
"time","time","2062"
"year","year","2024"
"may","may","1955"
"close","close","1930"
"tory","tory","1894"
"like","like","1885"
"vote","vote","1862"
"post","post","1852"
"ukip","ukip","1850"
"election","election","1728"
"first","first","1684"
"two","two","1682"
"expand","expand","1678"
"country","country","1635"
"miliband","miliband","1630"
"make","make","1571"
"public","public","1556"
"made","made","1534"
"get","get","1527"
"think","think","1510"
"years","years","1497"
"say","say","1492"
"says","says","1490"
"even","even","1482"
"next","next","1474"
"political","political","1469"
"many","many","1465"
"europe","europe","1462"
"secretary","secretary","1456"
"way","way","1422"
"back","back","1407"
"leader","leader","1374"
"right","right","1358"
"told","told","1358"
"tax","tax","1350"
"much","much","1340"
"parliament","parliament","1335"
"tories","tories","1332"
"week","week","1331"
"support","support","1324"
"scottish","scottish","1315"
"need","need","1312"
"conservative","conservative","1308"
"mps","mps","1305"
"referendum","referendum","1300"
"well","well","1289"
"world","world","1281"
"campaign","campaign","1267"
"want","want","1260"
"change","change","1253"
"work","work","1235"
"former","former","1231"
"state","state","1231"
"take","take","1226"
"yes","yes","1178"
"10","10","1163"
"leaders","leaders","1144"
"going","going","1128"
"000","000","1102"
"president","president","1098"
"voters","voters","1075"
"still","still","1073"
"home","home","1060"
"see","see","1056"
"since","since","1033"
"clear","clear","1029"
"go","go","1010"
"long","long","999"
"isis","isis","985"
"part","part","984"
"union","union","982"
"national","national","978"
"2014","2014","970"
