"name","word","count"
"cameron","cameron","9395"
"said","said","7438"
"would","would","6029"
"minister","minister","5072"
"government","government","4949"
"prime","prime","4293"
"one","one","4127"
"people","people","3427"
"labour","labour","3126"
"david","david","3075"
"party","party","2933"
"also","also","2633"
"new","new","2555"
"britain","britain","2523"
"could","could","2362"
"time","time","2318"
"last","last","2250"
"year","year","2221"
"uk","uk","2117"
"tory","tory","2083"
"public","public","2058"
"two","two","1938"
"secretary","secretary","1872"
"like","like","1843"
"british","british","1791"
"may","may","1787"
"eu","eu","1758"
"make","make","1726"
"us","us","1695"
"even","even","1695"
"political","political","1641"
"made","made","1634"
"press","press","1631"
"first","first","1619"
"years","years","1612"
"news","news","1610"
"think","think","1600"
"10","10","1585"
"get","get","1581"
"leveson","leveson","1538"
"way","way","1525"
"coalition","coalition","1495"
"right","right","1494"
"tax","tax","1492"
"work","work","1489"
"back","back","1479"
"need","need","1474"
"say","say","1470"
"world","world","1469"
"much","much","1460"
"week","week","1447"
"conservative","conservative","1445"
"many","many","1424"
"says","says","1389"
"country","country","1355"
"miliband","miliband","1342"
"well","well","1339"
"osborne","osborne","1329"
"told","told","1319"
"take","take","1312"
"support","support","1298"
"next","next","1283"
"clegg","clegg","1269"
"policy","policy","1226"
"want","want","1218"
"mps","mps","1202"
"election","election","1198"
"going","going","1187"
"inquiry","inquiry","1178"
"see","see","1178"
"hunt","hunt","1165"
"london","london","1157"
"good","good","1144"
"economy","economy","1133"
"leader","leader","1116"
"whether","whether","1092"
"former","former","1090"
"report","report","1090"
"street","street","1089"
"ministers","ministers","1078"
"european","european","1078"
"since","since","1072"
"lib","lib","1072"
"state","state","1071"
"budget","budget","1060"
"tories","tories","1056"
"economic","economic","1053"
"still","still","1050"
"clear","clear","1030"
"000","000","1029"
"europe","europe","1023"
"long","long","1008"
"bill","bill","996"
"business","business","994"
"change","change","991"
"reform","reform","984"
"twitter","twitter","973"
"go","go","967"
"murdoch","murdoch","965"
"police","police","962"
