"name","word","count"
"said","said","188"
"would","would","155"
"clegg","clegg","153"
"party","party","142"
"labour","labour","138"
"people","people","125"
"debates","debates","115"
"cameron","cameron","109"
"election","election","87"
"prime","prime","86"
"minister","minister","85"
"lib","lib","69"
"miliband","miliband","69"
"take","take","67"
"leader","leader","66"
"one","one","65"
"parties","parties","63"
"debate","debate","60"
"year","year","57"
"last","last","56"
"also","also","56"
"government","government","56"
"liberal","liberal","55"
"time","time","53"
"part","part","53"
"broadcasters","broadcasters","52"
"think","think","50"
"ukip","ukip","50"
"nick","nick","48"
"leaders","leaders","46"
"dems","dems","44"
"david","david","41"
"vote","vote","40"
"want","want","39"
"two","two","39"
"political","political","39"
"new","new","38"
"may","may","38"
"nhs","nhs","37"
"going","going","37"
"get","get","36"
"health","health","36"
"2010","2010","36"
"three","three","36"
"greens","greens","35"
"ed","ed","35"
"say","say","35"
"mental","mental","35"
"made","made","35"
"tories","tories","34"
"britain","britain","34"
"coalition","coalition","34"
"conservatives","conservatives","34"
"campaign","campaign","33"
"green","green","33"
"farage","farage","33"
"ve","ve","33"
"make","make","32"
"us","us","32"
"deputy","deputy","32"
"need","need","32"
"bbc","bbc","32"
"general","general","31"
"national","national","31"
"support","support","30"
"data","data","30"
"tory","tory","30"
"public","public","30"
"says","says","29"
"like","like","29"
"proposals","proposals","28"
"week","week","28"
"much","much","28"
"told","told","27"
"democrat","democrat","27"
"first","first","27"
"next","next","27"
"even","even","26"
"re","re","26"
"right","right","26"
"many","many","26"
"communications","communications","26"
"could","could","26"
"voters","voters","25"
"secretary","secretary","25"
"dem","dem","25"
"uk","uk","25"
"parliament","parliament","25"
"news","news","24"
"come","come","24"
"itv","itv","24"
"go","go","24"
"including","including","24"
"things","things","23"
"head","head","23"
"eu","eu","23"
"british","british","23"
"media","media","23"
"democrats","democrats","23"
"work","work","22"
